identifier    ID
constant      CONST
int           INT
float         FLOAT
cin           CIN
cout          COUT
if            IF
else          ELSE
while         WHILE
main          MAIN
{             OBRACE
}             EBRACE
;             SEMICOLON
)             EPAR
(             OPAR
+             PLUS
-             MINUS
*             MULT
/             DIV
%             MOD
>             GT
<             LT
>=            GE
<=            LE
==            EQ
!=            NOTE
=             ASSIGN
return        RETURN
