size,number_of_threads,duration
100,1,71112
100,3,22392
100,5,13393
100,10,1917
100,25,1425
100,50,2655
100,100,3823
250,1,8775
250,3,7261
250,5,6211
250,10,7332
250,25,6167
250,50,7531
250,100,11860
500,1,123746
500,3,75348
500,5,88483
500,10,95175
500,25,81672
500,50,84639
500,100,91688
750,1,602802
750,3,427126
750,5,608755
750,10,586458
750,25,586228
750,50,563960
750,100,570691
1000,1,2045137
1000,3,1471601
1000,5,1994662
1000,10,2027629
1000,25,2006647
1000,50,1939754
1000,100,1919892
1500,1,15622871
1500,3,8572966
1500,5,9514785
1500,10,9467847
1500,25,9347070
1500,50,9322910
1500,100,8948304
2000,1,49937445
2000,3,28647387
2000,5,25188369
2000,10,24339101
2000,25,24123918
2000,50,23864170
2000,100,23498409
