identifier    id
constant      const
int           int
char          char
float         float
cin           cin
cout          cout
if            if
else          else
while         while
main          main
pass          pass
{             obrace
}             ebrace
;             semicolon
)             epar
(             opar
+             plus
-             minus
*             mult
/             div
%             mod
>             gt
<             lt
>=            ge
<=            le
==            eq
!=            noteq
=             assign
return        return
