size,number_of_threads,duration
3,1,310
3,3,191
3,5,152
3,10,174
3,25,143
3,50,123
3,100,118
10,1,96
10,3,171
10,5,248
10,10,444
10,25,371
10,50,353
10,100,360
50,1,310
50,3,307
50,5,268
50,10,399
50,25,885
50,50,1773
50,100,1607
100,1,989
100,3,671
100,5,730
100,10,847
100,25,1290
100,50,2170
100,100,4564
250,1,8681
250,3,5646
250,5,7750
250,10,7008
250,25,6738
250,50,8098
250,100,11695
500,1,87414
500,3,52381
500,5,47465
500,10,47775
500,25,59178
500,50,45454
500,100,47252
1000,1,1435601
1000,3,672478
1000,5,785246
1000,10,795108
1000,25,789840
1000,50,792192
1000,100,788166
